"тот","that, that one, those, the other"
"быть","to be; (present tense) 'есть'  - there is, there are; has been"
"весь","all; all gone (no more left); whole, entire"
"по","along, down, through, across; about, under, for; by the means of (por medio de), on; hit or punch somewhere; after a certain age; to (indicating to the end or limit of an object); on the subject of, on; on (weekdays)"
"за","behind; at (location); at (direction); for (in support of); for (mistake for); for (reason); following after, chasing after; over (a certain age); beyond, on the far side of; out of (location); for (duration)"
"же","same, again, already"
"́этот","this"
"бы","would (be able to)"
"себ́я","oneself, ourselves, yourselves, himself, herself, itself, yourself, myself, themselves"
"мой","my, mine, my people"
"с́амый","the most; the very (same)"
"ни","neither; no"
"стать","to stand; to become; to begin to, be; to become, get, grow; to take to"
"свой","one's own (reflexive)"
"д́ело","business, work; matter, concern, affair; thing, action, act; art, science; truth, really, honestly"
"под","under; below; underneath; to go down/below; to go/put under something; (impression, affection); over, for"
"ну","well"
"сам","ourselves, yourself, oneself, yourselves, himself, herself, itself, themselves"
"чём","Prepositional of 'что'"
"жизнь","life, existence"
"тут","here; now"
"ли","whether, if; interrogative particle (placed after the first word in a sentence or phrase)"
"при","at; with; in the presence of; in the time of; (circumstantial)"
"сто́ять","to stand"
"ч́ерез","across, over, at; through; through, using; in (time) (no more than)"
"д́олжный","due, owing; must, need to, have (got) to, should"
"ведь","in fact, after all, surely, indeed; given that, as, because; Isn't it?"
"потом́у","because"
"сторон́а","side; direction, way"
"им́еть","to have, keep, hold, possess, carry, be, mean"
"пон́ять","to understand, comprehend, realize, realise; clear"
"сид́еть","to sit, be perched, be, fit"
"об","about, concerning"
"д́елать","to make, do"
"сд́елать","to make, do"
"вдруг","suddenly, all of a sudden, in case"
"н́ужный","necessary, needed, the right, the correct"
"над","above, over; on; at"
"взять","to take; to pick, to borrow; to grab, to get hold of; to hire; to choose (from)"
"каз́аться","to seem; to appear, strike as, look"
"кон́ец","end, ending"
"ѓолос","voice, part, vote"
"уж","really; not that"
"б́олее","more"
"земл́я","earth; land"
"с́ила","power, might, strength, force; vigor, vigour, intensity; energy, efficacy, ability"
"втор́ой","second, the latter"
"ув́идеть","to see"
"дав́ать","to give, let, make"
"сл́учай","case, occasion, chance, opportunity, event, incident, occurrence"
"куд́а","where (to), whereto; wherever, whenever"
"пойт́и","to go; walk"
"мир","world; peace"
"ост́аться","To remain; To stay"
"ср́азу","immediately, at once; at one stroke, simultaneously"
"совс́ем","entirely, totally, completely, quite, at all"
"вид","view; kind, sort, type"
"дать","give, allocate; make; Let (inform)"
"оказ́аться","to turn out to be; to find oneself"
"ряд","row, number, series, line"
"твой","your, yours, thy, thine, your people"
"отв́етить","answer"
"войн́а","war, warfare"
"под́умать","to think a little, for a while; (над чем?)to consider, reflect, ponder"
"б́елый","white"
"гл́авный","main; chief, head"
"лишь","only, as soon as, merely, just"
"тов́арищ","comrade"
"оп́ять","again (occurring another time)"
"одн́ако","however, though, but, still; you don't say! not really!"
"пр́авда","truth; justice; sure enough, indeed, actually, as a matter of fact; though, however, but, admittedly"
"посмотр́еть","look, watch"
"про","about, concerning, for"
"б́удто","as if, as though"
"часть","part"
"́именно","exactly, namely, to wit, that is, just"
"дор́ога","road, way, journey"
"свет","light; world"
"никаќой","no...at all, no...whatsoever, none"
"леж́ать","to lie down (Где?); to be situated; to rest, be incumbent"
"окн́о","window, casement-window, window-sill, gap, opening, port, slot"
"реш́ить","decide; solve"
"получ́ить","receive, get, obtain; access"
"Москв́а","Moscow; Moskva River"
"п́исать","pee, piss"
"пис́ать","write; paint"
"верн́уться","to return, come back (from); to revert (to)"
"вообщ́е","in general, generally; altogether, еn conjunto, on the whole, en general; at all, en absoluto; actually (in fact, honestly)"
"н́екоторый","some"
"счит́ать","consider, deem, find, think; count, compute, reckon, believe, accord to"
"́утро","morning"
"сов́етский","Soviet"
"в́ечер","evening"
"душ́а","soul"
"кн́ига","book, volume"
"плеч́о","shoulder, upper arm, humerus, arm"
"вм́есте","together"
"таќи","so yes; still"
"чуть","nearly; a little; hardly, barely; (with не) almost, nearly"
"пол","floor, ground; sex, gender; half"
"нар́од","people"
"хоть","although, even if, if only; at least, might as well"
"взгляд","look, gaze, stare; glance, glare; view, opinion"
"р́усский","Russian"
"зач́ем","For what purpose? or What for? also Why?"
"ист́ория","history, story, event; affair, thing"
"п́олный","full, complete; absolute, perfect; exhaustive, comprehensive; stout; full of"
"узн́ать","learn, find out; recognize"
"люб́ой","any, every, anyone, either; whichever one wants"
"бог","God, god"
"прийт́и","come, arrive"
"ход́ить","go, walk, move, pass"
"зам́етить","notice, note, observe, sight, catch sight, pay heed, remark"
"изв́естный","well-known"
"п́алец","finger, pin, cam; toe"
"сл́овно","as if, like; seemingly"
"након́ец","finally, at last; at length; in conclusion"
"́общий","common, general, overall, total, whole; public"
"́имя","name, first name; reputation; noun"
"быв́ать","To be, be present, frequent; To happen, take place; To be inclined to be, tend to be; to visit, to be at"
"мысль","thought; idea"
"сл́ышать","to hear; (colloquial, transitive) to smell, feel (a smell)"
"уйт́и","leave, depart; take (time, quantity...); retire"
"бо́яться","to be afraid, dread, fear; constant state of fear from something or someone"
"давн́о","how long, long ago; a long time ago, for a long time"
"сл́ушать","listen to, hear, attend, examine chest, auscultate, obey"
"разгов́ор","conversation, talk; (plural) rumors, talk"
"нельз́я","one cannot, you can't, it's impossible; one should not, it is not allowed, one must not (it is prohibited / forbidden)"
"пох́ожий","similar, resembling, alike"
"пр́аво","right"
"лес","woods, forest; timber, lumber (singular only); scaffolding, (plural only); much, many (figurative)"
"гляд́еть","look, peer, show, face, look out, give, point, look like, see"
"путь","way, track, path"
"т́ысяча","a thousand"
"п́ора","pore"
"пор́а","time, it is time to, it is necessary to"
"кр́асный","red, beautiful"
"сесть","to sit down"
"кр́оме","except"
"стен́а","wall"
"остав́аться","remain, stay, be left; to be the only possible action"
"ж","then"
"выс́окий","tall; high (altitude,intensity,pitch etc.); good, favorable, great, selfless, noble; lofty, elevated"
"хот́еться","(impersonal) to like, desire; want"
"соверш́енно","perfectly, absolutely, completely, totally"
"напис́ать","write; paint"
"пусть","let"
"р́анний","early"
"ч́увствовать","to feel, have a sensation, sense, taste"
"спин́а","back"
"ц́елый","whole, entire; intact, safe; integer"
"вест́и","to lead, conduct, direct; to behave (oneself); to keep a diary; to drive; be engaged"
"огр́омный","enormous, huge, vast"
"т́ело","body"
"насто́ящий","present, currently; true, real, genuine"
"продолж́ать","to continue, go on, proceed, extend, prolong; to keep on"
"т́очно","exactly, precisely, right; definitely; accurate"
"яз́ык","tongue; language; prisoner, informer"
"сред́и","among, amongst, amidst, in the middle"
"стар́ик","old man; parents (colloquial plural)"
"усп́еть","to have time; to manage to do"
"смерть","death; (emphatic with как) dying for; desperately"
"власть","power; authority, authorities"
"м́альчик","boy; lad; apprentice"
"т́акже","also, as well, too, either"
"брать","to take, to get; to pick, to borrow, to choose (from); to grab, get hold of; to hire"
"́образ","shape, form, image; manner, way"
"письм́о","letter (written communication); writing (action); script, writing system"
"жив́ой","alive; live"
"отнош́ение","relationship; attitude; regard, respect; ratio"
"с́ердце","heart; temper, anger; love, darling, sweetheart"
"ко","to, towards; by, for"
"нач́альник","boss, chief, head, superior, master, commander"
"пройт́и","to pass; to get to, to go to, to reach; to make one's way, be held (go); to be held (event)"
"начин́ать","to begin, start, commence"
"вокр́уг","around, round, about"
"появ́иться","to appear/show up"
"чёрный","black; (colloquial) dark, swarthy, dark-haired; rough, coarse"
"солд́ат","soldier, regular, private"
"заб́ыть","to forget [something]; to neglect; to leave, forget to bring or take; to let it go, let it slip"
"всп́омнить","to recall, remember"
"н́ебо","sky; heaven, firmament; air"
"зат́ем","then, after that, thereupon, upon which, subsequently, for that reason"
"сист́ема","system"
"в́оздух","air (usually uncountable); (figuratively) atmosphere; (religion) veil"
"́оба","both"
"с́обственный","one's own"
"пыт́аться","to try, attempt; to seek; to endeavor, assay"
"наход́иться","be situated; to be here"
"держ́ать","to hold, keep, support; to take"
"прос́ить","to request, ask for; to ask a favour, ask for; to beg, pray"
"показ́ать","to show; to display; to reveal; to point; to depose, to testify against"
"р́азный","different, diverse, various"
"реб́ята","lads, boys, guys; children, kids"
"кварт́ира","flat, quarters; apartment"
"в́ыходить","rear, bring up; nurse, restore to health; go over, go all over, go through"
"выход́ить","to go out, to come out, to leave; to use up, to run out of; to get married; to be published, to be issued; to come out"
"подн́ять","to lift, raise, lift up, heave, pick up; to increase"
"генер́ал","general, General"
"назыв́ать","to call, name"
"тр́етий","third; third course (time)"
"посл́ать","to send, dispatch; to swear (at), to tell someone to get lost"
"подойт́и","to approach, to come to, to walk to, to draw near; to fit, to suit, to match, to be right"
