"удив́ительный","amazing, extraordinary, wonderful; surprising"
"волнов́аться","be nervous"
"заб́ор","fence"
"строй","formation/order/system"
"м́орда","snout"
"прож́ить","to reside; to live (formal)"
"р́едко","rarely"
"измен́ить","change, alter, vary; cheat (on someone), betray"
"кр́аска","paint"
"темн́о","dark"
"сп́орить","to argue with someone; to spar, contest in words; to discuss; to bet, to wager"
"круж́ок","circle; hobby group"
"состо́яться","to take place or to be held; to establish oneself"
"моѓила","grave"
"привод́ить","bring, lead, result, reduce, adduce, cite, list"
"́облако","cloud"
"шкаф","closet, cupboard, dresser, wardrobe, cabinet, bookcase, locker"
"вар́ить","to cook sth / to boil; brew; to weld"
"милицион́ер","policeman, militiaman"
"с́умма","sum"
"свят́ой","holy, Saint, sacred, saint"
"сеть","web, meshes, toils, system, circuit, net, fishnet; network"
"грех","sin"
"помолч́ать","be silent, keep quiet"
"ожид́ание","expectation; waiting"
"необход́имость","necessity or need"
"инсп́ектор","inspector"
"сообщ́ение","message"
"ст́енка","wall"
"подъ́езд","entrance (by car); approach"
"сл́ышно","one can hear; it is audible, audibly; they say, it is said, it is rumored"
"нап́омнить","remind"
"парк","park, fleet, stock, yard, depot"
"физ́ический","physical, natural"
"вокз́ал","station building; terminal; train station"
"несч́астный","unhappy; unfortunate"
"ор́ать","yell"
"глух́ой","deaf; muffled, flat, toneless, dull, indistinct; unvoiced, voiceless; out-of-the-way, remote, god-forsaken; dense; blank"
"бор́оться","to fight (reflexive); to struggle (reflexive)"
"дойт́и","reach, arrive, get to, amount"
"включ́ить","turn on; include"
"борт","the side; on board; Vessel or aircraft"
"сумасш́едший","lunatic, madman, mentally ill person, madwoman; crazy, mad, insane"
"интересов́ать","to interest, to be interested in"
"умир́ать","die, pass away"
"уб́итый","killed, murdered, crushed, dead man, the killed"
"взрыв","explosion, outburst, burst"
"ос́обенный","particular; special"
"́еле","barely, hardly, only just, scarcely"
"рассто́яние","distance, space"
"л́окоть","elbow"
"актёр","actor, player"
"ус","moustache, mustache"
"приб́ыть","arrive"
