"козёл","male-goat, billy-goat; Asshole"
"леч́ить","heal, treat, cure"
"в́ытереть","wipe in order to make clean or dry"
"внез́апный","sudden"
"удивл́енно","surprisingly, astonishingly"
"над́олго","for a long time"
"раб","slave"
"максим́альный","maximum, highest possible"
"включ́ать","include; switch on"
"привл́ечь","to attract; draw attention"
"преврат́ить","turn into, transform, convert, transmute, reduce"
"наверх́у","above; upstairs"
"образ́ец","sample; model; example"
"д́авний","old or long ago (adj)"
"отв́етственный","responsible; crucial, main"
"стесн́яться","to be shy/ashamed"
"сќучно","boringly, tediously"
"под́елать","to do; to not be able to do something about it (with it с)"
"нап́олнить","to fill up"
"выполн́ение","implementation, fulfilment, carrying-out"
"факт́ически","actually; in fact"
"дев́ятый","ninth"
"пад́ение","fall, collapse, drop, sinking, downfall, degradation, incidence, dip"
"им́ущество","property, belongings, stock, stores, equipment"
"свал́иться","fall down from (reflexive); to gather (about dogs); to fall ill; to dump"
"ток","current (electricity, water, air); threshing-floor; mating-place (for birds); toque"
"напряжённый","tense/stressful"
"подосл́ать","send"
"при́езд","arrival, coming"
"пляж","beach"
"забол́еть","get sick, fall ill, come down with"
"сюжет","plot, subject, story"
"слон","elephant; bishop (chess piece)"
"прос́ыпаться","spill, get spilled"
"просып́аться","wake up"
"монаст́ырь","monastery"
"подр́осток","teenager, juvenile, youth, young girl"
"боѓатство","riches, wealth, richness, resplendence, gorgeousness"
"п́ередо","in front of; before"
"сл́едовательно","consequently; therefore, hence, it follows"
"дневн́ик","diary, journal"
"жев́ать","to chew"
"баз́ар","market, bazaar, fair, sale, uproar, row"
"исп́олнить","to fullfill; to perform"
"пр́ыгнуть","jump"
"пр́оволока","wire"
"провол́ока","wire"
"зап́исывать","write down, put down, take down, note, jot down, record, enter"
"́ярость","rage"
"́искренне","sincerely"
"увер́ять","to assure"
"хим́ический","chemical"
"оќончить","finish, complete, end; graduate from"
"охран́ять","to guard or protect"
"необ́ычный","unusual( simply indicates something uncommon or strange.)"
"зад́умываться","to think to yourself, to consider, ponder; wonder; to be lost in thought"
"предыд́ущий","previous"
"кл́ясться","to swear"
"воротн́ик","collar"
