"и","und; auch"
"не","nicht"
"что","was; dass"
"с","mit; von, aus; seit, ab"
"́это","das"
"у","bei, neben"
"из","aus, von"
"мочь","können, imstande sein, dürfen"
"челов́ек","Mensch, Person, Mann; Dienstbote, Diener, Lakei, Kellner"
"ещё","noch"
"т́олько","nur, lediglich, bloß, jedoch; soeben, erst; kaum"
"кто","wer"
"да","ja; aber; und"
"говор́ить","sprechen, reden, sagen"
"́или","oder, denn"
"нет","nein; nicht; es gibt nicht"
"больш́ой","groß"
"друѓой","anderer, nächster, folgender"
"где","wo"
"есть","es gibt, es existiert, es ist / sind da; bin, bist, ist, sind, seid"
"там","dort, da"
"пот́ом","nachher, später; und dann, dann, danach"
"́очень","sehr"
"хот́еть","wollen; mögen, wünschen, Lust haben"
"без","ohne"
"дом","Haus, Gebäude, Zuhause, Heim"
"т́оже","auch, ebenfalls"
"м́ожно","man kann, es ist möglich; man darf, es ist erlaubt"
"здесь","hier, da"
"спрос́ить","fragen, eine Frage stellen, sich erkundigen, ; bitten"
"окт́ябрь","Oktober"
"жить","leben, wohnen"
"раб́ота","Arbeit, Werk"
"поним́ать","verstehen, erkennen; begreifen, einsehen"
"хорош́о","gut, schön"
"вод́а","Wasser"
"люб́ить","lieben, liebhaben, gern haben; mögen, gern mögen"
"Росс́ия","Russland"
"м́аленький","klein, winzig"
"сеѓодня","heute"
"сќолько","wieviel, wie viel"
"б́ыстро","schnell"
"д́евушка","Mädchen, Fräulein, junge Frau; Partnerin, Freundin"
"м́едленно","langsam"
"куп́ить","kaufen"
"рубль","Rubel"
"тр́удно","schwierig, schwer, mühsam"
"счёт","Rechnung; Zählen, Rechnen; Konto; Spielstand, Spielergebnis"
"пом́очь","helfen"
"чай","Tee"
"спас́ибо","danke"
"пож́алуйста","bitte, bitte sehr, bitte schön"
"пр́авильно","richtig"
"вин́о","Wein"
"рестор́ан","Restaurant"
"п́иво","Bier"
"ст́оить","kosten; wert sein, sich lohnen; sich gehören"
"ќофе","Kaffee"
"гост́иница","Hotel; Gasthaus, Gasthof"
"х́олодно","es ist kalt, kühl, kalt"
"такс́и","Taxi"
"туал́ет","Toilette"
"нос́ок","Socke; Zehenspitze, Fußspitze; Näschen"
"крас́иво","schön, hübsch"
"ж́арко","es ist heiß"
"своб́одно","frei, unbesetzt, leer, freizügig"
"вќусно","lecker, schmackhaft"
"бар","Bar"
"суперм́аркет","Supermarkt"
"по-р́усски","russisch, Russisch, auf russisch, in russisch"
"здр́авствуйте","Hallo (formell), Guten Tag"
"банком́ат","Geldautomat, Bankomat"
"извин́ите","Entschuldigen Sie!, Entschuldigung!"
"он","er"
"я","ich"
"он́а","sie"
"он́и","sie (Plural)"
"мы","wir"
"ты","du"
"вы","ihr (Plural); Sie (höfliches Du)"
"он́о","es"
"до свид́ания","auf Wiedersehen"
"мен́я","Genitiv von я, Akkusativ von я"
"теб́я","dich (akk.).; dir (gen.)."
"вас","Genitiv von вы"
"мне","Dativ von я; Präpositiv von я"
"теб́е","Dativ von ты"
"вам","ihnen / euch (Dativ von вы)"
"зов́ут","heißen"
