"тот","jener, jenes, jene, derjenige; dieser, dieses, diese"
"быть","sein; vorhanden sein, existieren"
"весь","alle; ganz, sämtlich, voll"
"по","an, am; auf; für, wegen, laut, gemäß, -halber, aus; durch, über, entlang, längs, in; bis; nach; von"
"за","an, bei, hinter, jenseits; an, gegen, hinter; für, anstelle von; beim; für, um; im Laufe von, in, binnen, nach, danach; während, wegen; hinter"
"же","denn; doch, jedoch, hingegen"
"́этот","dieser, dieses, diese"
"бы","würde, würdest, würden, würdet"
"себ́я","sich, mich, dich, euch"
"мой","mein, meine"
"с́амый","aller-, meist-; derselbe, dieselbe, dasselbe, selbige; unmittelbar, direkt, nahe"
"ни","kein, nicht, nicht ein(e); weder ... noch; ... auch (immer)"
"стать","werden; anfangen, beginnen; sich hinstellen, sich aufrichten, steigen; stehenbleiben, stocken, stehen; ergehen"
"свой","mein-dein-sein (eigener); unser- euer - ihr (eigener)"
"д́ело","Sache, Angelegenheit, Ding, Anliegen"
"под","unter, vor; bei, in der Nähe von; gegen, am; im; nach Art von; zu, bei"
"ну","na, nun"
"сам","selbst, selber, allein, selbständig, von selbst"
"чём","was, das"
"жизнь","Leben"
"тут","hier, da"
"ли","ob"
"при","bei, an, neben; im Beisein, in Anwesenheit, in Gegenwart; zur Zeit von, während"
"сто́ять","stehen, stehenbleiben, anhalten, andauern, sein, herrschen; einstehen, eintreten, sich einsetzen; sich befinden"
"ч́ерез","über; durch; nach, in"
"д́олжный","gebührend, schulden; sollen, müssen"
"ведь","doch, ja; denn, weil"
"потом́у","deshalb, darum"
"сторон́а","Seite, ; Richtung; Partei, Gesichtspunkt, Aspekt"
"им́еть","haben, besitzen, verfügen; (fig.) jmdn. haben"
"пон́ять","verstehen, erkennen, sich bewusst werden; begreifen, einsehen"
"сид́еть","sitzen; passen"
"об","über, von; gegen"
"д́елать","machen, erledigen; tun; anfertigen, herstellen"
"сд́елать","machen, erledigen; tun; anfertigen, herstellen"
"вдруг","plötzlich, auf einmal"
"н́ужный","brauchen, bedürfen, benötigen; nötig, notwendig, benötigt"
"над","über; an"
"взять","nehmen, auswählen, einstellen; fassen, greifen, mitnehmen, ergreifen, verhaften; annehmen"
"каз́аться","scheinen, wirken, den Anschein haben, anmuten, erscheinen, so aussehen als ob, zu sein scheinen, vorkommen"
