"и","1) und 2) auch"
"не","1) nicht"
"что","1) was 2) dass"
"с","1) mit 2) von, aus 3) seit, ab"
"э́то","1) das"
"у","1) bei, neben"
"из","1) aus, von"
"мочь","1) können, imstande sein, dürfen"
"челове́к","1) Mensch, Person, Mann 2) Dienstbote, Diener, Lakei, Kellner"
"ещё","1) noch"
"то́лько","1) nur, lediglich, bloß, jedoch 2) soeben, erst 3) kaum"
"кто","1) wer"
"да","1) ja 2) aber 3) und"
"говори́ть","1) sprechen, reden, sagen"
"и́ли","1) oder, denn"
"нет","1) nein 2) nicht 3) es gibt nicht"
"большо́й","1) groß"
"друго́й","1) anderer, nächster, folgender"
"где","1) wo"
"есть","1) es gibt, es existiert, es ist / sind da 2) bin, bist, ist, sind, seid"
"там","1) dort, da"
"пото́м","1) nachher, später 2) und dann, dann, danach"
"о́чень","1) sehr"
"хоте́ть","1) wollen 2) mögen, wünschen, Lust haben"
"без","1) ohne"
"дом","1) Haus, Gebäude, Zuhause, Heim"
"то́же","1) auch, ebenfalls"
"мо́жно","1) man kann, es ist möglich 2) man darf, es ist erlaubt"
"здесь","1) hier, da"
"спроси́ть","1) fragen, eine Frage stellen, sich erkundigen,  2) bitten"
"октя́брь","1) Oktober"
"жить","1) leben, wohnen"
"рабо́та","1) Arbeit, Werk"
"понима́ть","1) verstehen, erkennen 2) begreifen, einsehen"
"хорошо́","1) gut, schön"
"вода́","1) Wasser"
"люби́ть","1) lieben, liebhaben, gern haben 2) mögen, gern mögen"
"Росси́я","1) Russland"
"ма́ленький","1) klein, winzig"
"сего́дня","1) heute"
"ско́лько","1) wieviel, wie viel"
"бы́стро","1) schnell"
"де́вушка","1) Mädchen, Fräulein, junge Frau 2) Partnerin, Freundin"
"ме́дленно","1) langsam"
"купи́ть","1) kaufen"
"рубль","1) Rubel"
"тру́дно","1) schwierig, schwer, mühsam"
"счёт","1) Rechnung 2) Zählen, Rechnen 3) Konto 4) Spielstand, Spielergebnis"
"помо́чь","1) helfen"
"чай","1) Tee"
"спаси́бо","1) danke"
"пожа́луйста","1) bitte, bitte sehr, bitte schön"
"пра́вильно","1) richtig"
"вино́","1) Wein"
"рестора́н","1) Restaurant"
"пи́во","1) Bier"
"сто́ить","1) kosten 2) wert sein, sich lohnen 3) sich gehören"
"ко́фе","1) Kaffee"
"гости́ница","1) Hotel 2) Gasthaus, Gasthof"
"хо́лодно","1) es ist kalt, kühl, kalt"
"такси́","1) Taxi"
"туале́т","1) Toilette"
"носо́к","1) Socke 2) Zehenspitze, Fußspitze 3) Näschen"
"краси́во","1) schön, hübsch"
"жа́рко","1) es ist heiß"
"свобо́дно","1) frei, unbesetzt, leer, freizügig"
"вку́сно","1) lecker, schmackhaft"
"бар","1) Bar"
"суперма́ркет","1) Supermarkt"
"по-ру́сски","1) russisch, Russisch, auf russisch, in russisch"
"здра́вствуйте","1) Hallo (formell), Guten Tag"
"банкома́т","1) Geldautomat, Bankomat"
"извини́те","1) Entschuldigen Sie!, Entschuldigung!"
"он","1) er"
"я","1) ich"
"она́","1) sie"
"они́","1) sie (Plural)"
"мы","1) wir"
"ты","1) du"
"вы","1) ihr (Plural) 2) Sie (höfliches Du)"
"оно́","1) es"
"до свида́ния","1) auf Wiedersehen"
"меня́","1) Genitiv von я, Akkusativ von я"
"тебя́","1) dich (akk.). 2) dir (gen.)."
"вас","1) Genitiv von вы"
"мне","1) Dativ von я 2) Präpositiv von я"
"тебе́","1) Dativ von ты"
"вам","1) ihnen / euch (Dativ von вы)"
"зову́т","1) heißen"
