"в","1) in, im 2) auf, an 3) zu, zum, nach 4) um 5) pro, am"
"на","1) auf 2) in (Ort) 3) auf 4) dahin 5) für 6) für, am 7) für"
"а","1) und 2) aber 3) oh"
"как","1) wie, was 2) als"
"но","1) aber 2) jedoch, sondern"
"к","1) zu, an, gegenüber, gegen, um, bis zu"
"так","1) so 2) also 3) dermaßen, derart 4) freilich, nun"
"сказа́ть","1) sagen, mitteilen"
"от","1) von, vom 2) gegen, für 3) aus, vor"
"кото́рый","1) welcher"
"о","1) über 2) an (jmd.)"
"тако́й","1) solch ein, so ein 2) so sehr"
"како́й","1) welch, welcher, was für, wie"
"для","1) für"
"уже́","1) schon, bereits"
"когда́","1) wann 2) wenn 3) als"
"вот","1) da(s) 2) hier"
"год","1) Jahr"
"знать","1) wissen, sich auskennen, Bescheid wissen, können 2) kennen, erkennen, verstehen, beherrschen"
"е́сли","1) wenn 2) falls"
"до","1) bis, bis an, bis zu, bis auf, gegen, ungefähr, etwa, an die, vor, zu"
"вре́мя","1) Zeit"
"рука́","1) Hand 2) Arm"
"да́же","1) sogar, selbst, auch"
"что́бы","1) um zu, (als) dass 2) damit"
"раз","1) mal 2) eins, einmal 3) wenn, da"
"глаз","1) Auge"
"пе́рвый","1) erste"
"день","1) Tag"
"ничто́","1) nichts"
"на́до","1) müssen, sollen 2) nötig sein, benötigen 3) über"
"голова́","1) Kopf, Köpfchen, Gehirn, Verstand 2) Haupt, Oberhaupt"
"ви́деть","1) sehen, erblicken 2) bemerken, merken"
"тепе́рь","1) nun, in diesem Augenblick 2) jetzt"
"идти́","1) gehen, kommen, mitkommen, folgen, erreichen, losgehen, bewegen, fahren, laufen, stattfinden, gezeigt werden 2) stehen, passen"
"друг","1) Freund"
"сейча́с","1) jetzt, im Moment, gerade, momentan 2) sofort, augenblicklich"
"по́сле","1) nach, danach, hinterher 2) nachdem"
"сло́во","1) Wort, Vokabel 2) Rede, Ansprache 3) Versprechen"
"ме́сто","1) Platz, Sitzplatz, Koje 2) Ort, Stelle, Posten, Position 3) Gepäckstück"
"ду́мать","1) denken, überlegen, nachdenken, meinen, glauben, beabsichtigen 2) erinnern 3) nachdenken"
"лицо́","1) Gesicht 2) Person 3) Persönlichkeit"
"тогда́","1) dann, da 2) damals"
"но́вый","1) neu"
"ка́ждый","1) jeder, jede, jedes, alle"
"хоро́ший","1) gut, schön"
"почему́","1) warum, weshalb"
"смотре́ть","1) schauen, sehen, ansehen, zusehen"
"про́сто","1) einfach, leicht, simpel, unkompliziert"
"нога́","1) Bein 2) Fuß"
"никто́","1) niemand, keiner"
"пе́ред","1) vor 2) bevor"
"коне́чно","1) natürlich, gewiss, klar, freilich, aber ja"
"го́род","1) Stadt"
"не́сколько","1) einige, mehrere 2) wenige, ein paar, ein wenig, etwas"
"нача́ть","1) anfangen, beginnen"
"час","1) Stunde 2) Uhrzeit"
"пока́","1) tschüss, bis bald, bis dann 2) bis 3) bis jetzt, fürs erste, vorerst, vorläufig, für den Moment 4) solange, während"
"после́дний","1) letzt, letztes, aktuellst, neuest, jüngst, das letzte"
"хотя́","1) obwohl, obgleich, auch wenn"
"всегда́","1) immer"
"стол","1) Tisch 2) Tafel, Kost 3) Stelle"
"маши́на","1) Auto 2) Maschine"
"ночь","1) Nacht"
"же́нщина","1) Frau, Dame"
"ребёнок","1) Kind"
"вы́йти","1) hinausgehen, hinaustreten, verlassen, aussteigen, herauskommen 2) alle sein, ausgehen 3) gelingen, geraten 4) erscheinen, herauskommen"
"оте́ц","1) Vater"
"вопро́с","1) Frage 2) Angelegenheit, Sache"
"рабо́тать","1) arbeiten, berufstätig sein, sein, tätig sein, geöffnet sein 2) funktionieren, in Betrieb sein, gehen, laufen"
"почти́","1) fast,  2) beinahe, nahezu"
"сно́ва","1) wieder. von neuem, abermals, erneut, aufs neue"
"ста́рый","1) alt, Alt- 2) der Alte"
"страна́","1) Land, Staat, Gegend"
"ме́жду","1) zwischen, unter"
"мно́го","1) viel, zu viel, viele"
"де́ньги","1) Geld"
"зна́чить","1) bedeuten,  2) besagen, heißen,  3) also, folglich"
"мину́та","1) Minute, Augenblick"
"ждать","1) warten, erwarten"
"никогда́","1) niemals, nie"
"найти́","1) finden, ausfindig machen"
"жена́","1) Ehefrau, Frau"
"мать","1) Mutter"
"у́лица","1) Straße"
"далёкий","1) fern, weit, entfernt, entlegen, fremd"
"ко́мната","1) Zimmer 2) Raum"
"по́мнить","1) sich erinnern, denken an"
"наза́д","1) zuvor, zurück, rückwärts 2) vor, zurück"
"про́шлый","1) vergangen, vorig"
"пря́мо","1) gerade, aufrecht, geradeaus, unmittelbar 2) direkt, offen, aufrichtig"
"до́лго","1) lange"
"сын","1) Sohn"
"поэ́тому","1) darum, aus diesem Grund 2) deshalb, deswegen"
"чита́ть","1) lesen"
"ме́сяц","1) Monat 2) Mond"
"молодо́й","1) jung 2) jugendlich, angehend"
"ма́ма","1) Mama, Mutti"
"иногда́","1) manchmal, ab und zu"
"брат","1) Bruder"
"отку́да","1) woher"
"туда́","1) dorthin, dahin"
"ма́ло","1) wenig, nicht viel, nur wenige, nicht viele"
"сли́шком","1) zu sehr, viel zu 2) allzu, allzusehr"
"сле́дующий","1) nächste 2) folgende"
"со́лнце","1) Sonne"
"неде́ля","1) Woche"
"войти́","1) eintreten, betreten, hereinkommen 2) hineingehen, beinhalten 3) eindringen"
"спать","1) schlafen"
"иска́ть","1) suchen"
"семья́","1) Familie"
"муж","1) Mann, Ehemann"
"ти́хо","1) leise 2) still, ruhig 3) langsam"
"снег","1) Schnee"
"е́хать","1) fahren"
"соба́ка","1) Hund 2) Klammeraffe (@-Symbol)"
"пробле́ма","1) Problem"
"вчера́","1) gestern"
"вещь","1) Ding, Sache, Gegenstand"
"далеко́","1) weit"
"за́втра","1) morgen"
"пло́хо","1) schlecht, schlimm, übel"
"обы́чно","1) gewöhnlich 2) normalerweise"
"краси́вый","1) schön, hübsch"
"пить","1) trinken"
"дере́вня","1) Dorf, Weiler 2) Land"
"нра́виться","1) gefallen, gern haben 2) mögen, stehen auf"
"мно́гие","1) viele, manche, einige"
"холо́дный","1) kalt, leicht, kühl"
