"козёл","Ziegenbock"
"лечи́ть","behandeln; heilen"
"вы́тереть","abwischen, abputzen; abtrocknen"
"внеза́пный","plötzlich, unerwartet, überraschend, abrupt"
"удивле́нно","überrascht; erstaunt; verwundert"
"надо́лго","für lange"
"раб","Sklave"
"максима́льный","Maximal-, maximal, Höchst-"
"включа́ть","einschalten, anschließen, anmachen; einschließen, einbeziehen, einfügen"
"привле́чь","an sich ziehen, anlocken, reizen, imponieren; heranziehen, hinzuziehen"
"преврати́ть","verwandeln"
"наверху́","oben"
"образе́ц","Vorbild; Muster, Beispiel, Sample, Vorlage, Prüfstück"
"да́вний","einstig, vor langer Zeit geschehen, längst vergangen, längst gewesen; alt"
"отве́тственный","verantwortlich, schwerwiegend, entscheidend; verantwortungsvoll"
"стесня́ться","sich schämen, sich genieren; sich einschränken, sich beschränken; schüchtern sein"
"ску́чно","langweilig, es ist langweilig"
"поде́лать","eine Weile etwas tun"
"напо́лнить","füllen, ausfüllen, befüllen"
"выполне́ние","Ausführung, Erfüllung, Erledigung, Vollziehung"
"факти́чески","faktisch, tatsächlich"
"девя́тый","der neunte"
"паде́ние","Fall, Verfall, Untergang, Niedergang; Absturz, Sturz, Sinken"
"иму́щество","Vermögen, Eigentum; Hab und Gut, Habseligkeiten, Habe, Gut"
"свали́ться","fallen, stürzen; krank werden, zusammenklappen; zufallen, zuteil werden; unerwartet auftauchen, angeschneit kommen"
"ток","Strom; Strömung, Zug; Tenne, Dreschboden; Balzplatz; Toque"
"напряжённый","angespannt, gespannt, angestrengt; anstrengend"
"подосла́ть","entsenden, vorbeischicken; heimlich zuschicken"
"прие́зд","Ankunft"
"пляж","Strand, Badestrand; Strandbad"
"заболе́ть","erkranken; von einer Leidenschaft ergriffen werden; zu schmerzen beginnen"
"сюжет","Sujet, Thema, Motiv; Handlung, Gegenstand, Inhalt"
"слон","Elefant; Läufer beim Schach"
"просы́паться","verschüttet werden, verstreut werden, ausgeschüttet werden"
"просыпа́ться","aufwachen, erwachen; ausschlafen; verschüttet werden, verstreut werden, ausgeschüttet werden"
"монасты́рь","Kloster"
"подро́сток","Teenager, Jugendlicher; Halbwüchsiger, Minderjähriger"
"бога́тство","Reichtum"
"пе́редо","vor"
"сле́довательно","folglich; somit, also, demnach, infolgedessen"
"дневни́к","Tagebuch"
"жева́ть","kauen, durchkauen; zerknittern, zerknautschen"
"база́р","Basar; Markt, "
"испо́лнить","ausführen, durchführen, erledigen, verrichten, verwirklichen; aufführen, darbieten, darstellen, vorführen, vortragen"
"пры́гнуть","springen, losspringen, hüpfen"
"про́волока","Draht"
"проволо́ка","Verzögerung, Verschleppung"
"запи́сывать","aufschreiben, notieren, nachschreiben, vormerken; aufnehmen, aufzeichnen; eintragen, anmelden, einschreiben"
"я́рость","Wut, Rage; Zorn"
"и́скренне","aufrichtig, innig"
"уверя́ть","versichern, beteuern"
"хими́ческий","chemisch"
"око́нчить","beenden, absolvieren, abschließen"
"охраня́ть","bewachen, schützen; wahren, bewahren, aufbewahren"
"необы́чный","ungewöhnlich, außergewöhnlich, ungewohnt; auffällig, ausgefallen, sonderbar"
"заду́мываться","nachdenklich werden, sich in Gedanken vertiefen, nachdenken, sich Gedanken machen"
"предыду́щий","vorig, vorhergehend"
"кля́сться","schwören"
"воротни́к","Kragen"
"ро́слый","hochgewachsen, ; großwüchsig, von hohem Wuchs"
"подполко́вник","Oberstleutnant"
"разру́шить","zerstören, vernichten, zunichte machen; ruinieren, demolieren"
"аэропо́рт","Flughafen"
"и́здали","von weitem, aus der Ferne"
"длина́","Länge"
"забы́тый","vergessen sein, vergessen werden"
"авторите́т","Autorität, Ansehen"
"мы́сленно","gedanklich (geistig, mental), innerlich"
"принце́сса","Prinzessin"
"ту́фля","Schuh, Halbschuh"
"таска́ть","ziehen, schleppen, schleifen; klauen, mitgehen lassen, stibitzen"
"нанести́","auftragen, eintragen; herbeitragen, zusammentragen; zufügen, hinzufügen"
"му́дрый","weise, klug"
"ветвь","Ast, Zweig"
"кри́зис","Krise"
"де́скать","angeblich, es heißt; also"
"осторо́жный","vorsichtig, behutsam, achtsam"
"пожела́ть","wünschen"
"отъе́зд","Abreise; Abfahrt; Aufbruch"
"кгб","KGB"
"накры́ть","decken, zudecken, bedecken; erwischen, ertappen"
"зали́ть","begiessen, übergiessen; überfluten, überschwemmen"
"нере́дко","nicht selten, ziemlich oft"
"пре́док","Vorfahr, Urahn; Eltern"
"жи́дкость","Flüssigkeit"
"орке́стр","Orchester, Kapelle"
"дыра́","Loch; Schlupfloch"
"пое́сть","ein wenig essen, alles aufessen"
"годи́ться","taugen, nützlich sein; sich eignen, geeignet sein, zu gebrauchen sein"
"волше́бник","Zauberer, Magier"
"счесть","halten, glauben, meinen; rechnen, zählen, zusammenzählen, ermessen"
"скрыва́ться","sich verbergen, sich verstecken; verschwinden"
"обвине́ние","Beschuldigung, Anschuldigung, Anklage"
"бред","Fieberwahn, Fieberphantasie, Delirium; Quatsch, Unsinn, Quatsch"
"рис","Reis"
"стара́тельный","fleißig, beflissen, eifrig; sorgfältig, gewissenhaft, bemüht"
"маршру́т","Reiseroute, Wanderroute, Strecke, Linie; Streckenführung, Strecke, Linie; Marschroute"
"привяза́ть","anbinden, festbinden"
"ма́ршал","Marschall"
"до́шлый","gewieft, gerissen, findig, clever; erfahren, mit allen Wassern gewaschen"
"зави́довать","beneiden, neidisch sein"
"большеви́к","Bolschewik, Bolschewist"
"спи́нка","Rückenlehne, Lehne"
"аж","sogar; sage und schreibe, immerhin, doch tatsächlich... (zur Betonung der Aussage)"
"общежи́тие","Wohnheim, Studentenheim"
"предста́виться","sich vorstellen; entstehen, sich ergeben; scheinen, erscheinen; vorgeben, sich für etwas ausgeben"
"определе́ние","Definition, Bestimmung; Festlegung, Entscheid, Beschluss; Feststellung, Ermittlung"
"сме́ртный","sterblich, tödlich"
"спали́ть","verbrennen, versengen; niederbrennen, abbrennen"
"гад","abscheulicher Mensch, Scheusal, Bastard, Ekelpaket, Kotzbrocken; ekeliges Vieh, Amphibie, Weichtier"
"ме́дный","Kupfer-, kupfern"
"традицио́нный","traditionell"
"рвану́ть","reißen, zerren, ziehen; zerfetzen, zerreissen; losstürzen"
"размышля́ть","nachdenken, grübeln, sinnieren"
"прибли́зиться","sich nähern, herantreten, herankommen, heranrücken, nahen"
"приложи́ть","anlegen, dranhalten, auflegen; beilegen, beifügen, dazulegen, auflegen; zulegen, aufwenden, verwenden, anwenden"
"хло́пать","klatschen; schlagen, klopfen; knallen, sich hinter die Binde giessen"
"ерунда́","Quatsch, Unsinn; Kleinigkeit, Bagatelle, Lappalie"
"при́ступ","Anfall"
"кре́пость","Festung, Burg; Festigkeit, Stärke; Besitzrecht, Handelsbrief, Kaufbrief, zu Ländereien, Leibeigenschaft, Knechtschaft"
"треск","Krachen, Knacksen, Prasseln, Knallen, Knistern"
"интервью́","Interview"
"су́мерки","Dämmerung"
"проводни́к","Führer, Leiter; Zugbegleiter, Schaffner"
"демократи́ческий","demokratisch"
"подо́бно","ähnlich"
"учи́тельница","Lehrerin"
"конве́рт","Briefumschlag, Kuvert; Zudecke"
"анекдо́т","Anekdote"
"изобрази́ть","darstellen, zeigen, spielen, verkörpern, widerspiegeln, nachahmen; darlegen, schildern, gestalten"
"физионо́мия","Physiognomie, Gesicht, Visage"
"обижа́ться","beleidigt sein, gekränkt sein, sich gekränkt fühlen"
"видне́ться","zu sehen sein, sichtbar sein"
"трамва́й","Straßenbahn"
"вы́лететь","hinausfliegen, ausfliegen, abfliegen, "
"кварта́л","Viertel, Stadtviertel, Häuserblock; Quartal, Vierteljahr"
"риск","Risiko"
"дружо́к","Freund, Freundchen; Kumpel, Spezi"
"се́мьдесят","siebzig"
"колю́чий","stachelig, dornig, kratzend"
"военно","kriegerisch; militär-, militärisch"
"прыжо́к","Sprung, Absprung, Hüpfer"
"фа́брика","Fabrik, Betrieb"
"отмеча́ть","anmerken, bemerken, erwähnen, feststellen, vermerken, notieren; markieren, kennzeichnen; feiern, begehen, gedenken"
"оболо́чка","Hülle; Umhüllung, Haut"
"описа́ние","Beschreibung"
"свиде́тельство","Zeugnis, Bezeugung, Zeugenaussage; Bescheinigung, Nachweis, Attest, Urkunde"
"взор","Blick"
"адвока́т","Advokat, Fürsprecher, Verteidiger; Anwalt, Rechtsanwalt"
"раскры́тый","geöffnet; aufgedeckt, aufgeklärt; unbedeckt, entblößt"
"жу́ткий","unheimlich, gruslig; schaurig, schrecklich, makaber"
"наста́ивать","bestehen, beharren; einen Aufguss machen, ziehen lassen"
"заведе́ние","Einrichtung; Anstalt, Institution"
"восстанови́ть","wiederherstellen, wiederaufbauen, restaurieren; sich ins Gedächtnis zurückrufen; aufbringen, aufreizen"
"рядово́й","gewöhnlich, Durchschnitts-; Reihen-, aneinandergereiht"
"покида́ть","verlassen, im Stich lassen; werfen"
"архи́в","Archiv, Aktei, Dokumentensammlung"
"серди́ться","sich ärgern, böse werden"
"за́мысел","Absicht, Vorsatz; Idee, Vorhaben"
"попали́ть","eine Weile verbrennen, glühen; eine Zeit lang feuern"
"всю́ду","überall"
"курса́нт","Kursteilnehmer, Kursant, Lehrgangsteilnehmer; Offiziersschüler, Kadett, Flugschüler"
"фура́жка","Mütze, Schirmmütze"
"февра́ль","Februar"
"капита́л","Kapital"
"учи́тывать","berücksichtigen, Rücksicht nehmen auf, miteinbeziehen; einkalkulieren, zählen"
"федера́льный","föderal, Bundes-"
"фаши́ст","Faschist"
"вздыха́ть","seufzen, aufatmen"
"полоте́нце","Handtuch, Geschirrtuch, Badetuch"
