"разви́тие","1) development, unfolding of events etc"
"ва́жный","1) important, significant, grand, pompous"
"банк","1) bank (financial establishment), faro"
"сове́т","1) advice, council, advice, council, opinion, Soviet"
"сто́лько","1) so much, so many, as much"
"возвраща́ться","1) return, go back, revert, recur, be restored, come back"
"тру́бка","1) tube, pipe 2) roll, scroll 3) telephone receiver 4) tobacco pipe 5) snorkel"
"ладо́нь","1) palm (of the hand)"
"желе́зный","1) iron (adj)"
"ока́зываться","1) turn out to be 2) to find oneself in a situation 3) = быть (часто используется в отрицательном смысле)"
"институ́т","1) institute,  2) institution"
"потеря́ть","1) lose, shed"
"прави́тельство","1) government 2) administration"
"остально́й","1) the rest of, the rest, the others"
"вы́пить","1) drink 2) take a drink"
"пока́зывать","1) show, display, point"
"иде́я","1) idea, notion, concept"
"то́чка","1) dot: period 2) point (physical place)"
"у́ровень","1) level, standard 2) strength"
"профе́ссор","1) professor"
"нау́ка","1) science, study, knowledge"
"собы́тие","1) event"
"сою́з","1) union, alliance, Union, league, agreement, conjunction"
"коро́ль","1) king"
"полови́на","1) half"
"метр","1) metre, metre measure ruler, master"
"отда́ть","1) to give back, to return 2) To dedicate or give up (something, like time, energy, or effort) 3) to send 4) to devote 5) to cast (anchor) 6) to recoil (of a gun) 7) to give away (hand over)"
"ве́ра","1) faith, belief, trust"
"кивну́ть","1) to nod"
"о́бласть","1) area province region 2) sphere field (area of knowledge)"
"исче́знуть","1) disappear, vanish, wear off"
"ситуа́ция","1) situation"
"ку́хня","1) kitchen, cook-house, galley, cooking, cuisine, machinations"
"наде́жда","1) hope"
"род","1) generation, birth, origin, stock, family, race, kin 2) (taxonomy) genus 3) sort, kind, genre, style, branch 4) (grammar) gender, class"
"офице́р","1) officer"
"си́ний","1) blue, deep blue, indigo 2) drunk"
"тече́ние","1) current, flow, stream 2) course, period 3) tendency, trend"
"информа́ция","1) information"
"получи́ться","1) To succeed 2) To happen 3) to be received"
"по́мочь","1) help, assist, aid"
"тёплый","1) warm, mild, cordial, kindly, affectionate"
"мо́лча","1) silently"
"неме́цкий","1) German"
"ви́димо","1) apparently, evidently"
"бить","1) to beat, hit, strike 2) to chime 3) to clap"
"ча́стый","1) frequent"
"по́здний","1) late, tardy"
"созда́ть","1) to create"
"со́рок","1) forty"
"грани́ца","1) border, boundary, bounds"
"слеза́","1) tear"
"поско́льку","1) since"
"расска́з","1) story"
"вспомина́ть","1) to recall or remember"
"получа́ть","1) Receive, get, obtain, getting"
"трава́","1) grass 2) weed 3) herb"
"упа́сть","1) to fall (6)"
"три́дцать","1) thirty"
"борьба́","1) struggle 2) wrestling"
"доста́ть","1) to reach 2) to take, to take out, to fetch 3) to get, obtain, procure 4) to annoy, bother, pester"
"ше́я","1) neck"
"деся́ток","1) dozen, decade 2) ten (set of ten)"
"наде́яться","1) to hope, esperanza, rely, confiar"
"толпа́","1) crowd, throng, multitude"
"моско́вский","1) Moscow"
"пра́вило","1) rule, precept, principle, maxim, law, canon (regulation)"
"прави́ло","1) (hunters jargon) tail / brush of an animal 2) straightener, reversing rod, strickle (for sharpening scythes) 3) rudder, helm (rudder), "
"слать","1) to send, dispatch"
"придти́сь","1) to fit, fall 2) have to"
"вздохну́ть","1) to sigh, to take breath"
"уве́ренный","1) assured, sure, confident, positive, certain"
"неизве́стный","1) unknown"
"програ́мма","1) program"
"фами́лия","1) last name, family name, surname"
"звук","1) sound"
"рома́н","1) novel, romance, love affair"
"неожи́данно","1) unexpectedly, suddenly"
"вон","1) out, there, over there"
"то́нкий","1) Thin, fine, delicate"
"вну́тренний","1) inner (adj)"
"роль","1) role"
"созна́ние","1) consciousness"
"ве́рный","1) true 2) loyal/faithful"
"кома́нда","1) team, crew, party 2) command, order, detachment"
"прекра́сный","1) wonderful, beautiful, fine, excellent"
"петь","1) sing"
"магази́н","1) shop, store, magazine"
"впервы́е","1) for the first time"
"америка́нский","1) American"
"во́рот","1) collar (of a shirt)"
"прости́ть","1) to forgive, to excuse, to pardon"
"полко́вник","1) colonel"
"приро́да","1) nature, countryside, character"
"си́льно","1) strongly, violently, heavily, greatly, badly, vastly"
"за́пах","1) smell 2) wrap over"
"поэ́т","1) poet"
"райо́н","1) region, district, area, vicinity"
"лист","1) leaf (of a plant)"
"лист","1) sheet of paper 2) document, certificate, deed, list"
"переста́ть","1) to cease/stop/quit"
"стекло́","1) glass, glassware 2) pane, window"
"коли́чество","1) quantity 2) amount"
"эта́ж","1) floor, storey"
"тип","1) type, model 2) character 3) man, guy 4) like, such as"
"пожа́ловать","1) to visit 2) to grant, to favor, to regard with favor, to bestow, to confer, to reward"
