"удиви́тельный","1) amazing, extraordinary, wonderful 2) surprising"
"волнова́ться","1) be nervous"
"забо́р","1) fence"
"строй","1) formation/order/system"
"мо́рда","1) snout"
"прожи́ть","1) to reside 2) to live (formal)"
"ре́дко","1) rarely"
"измени́ть","1) change, alter, vary 2) cheat (on someone), betray"
"кра́ска","1) paint"
"темно́","1) dark"
"спо́рить","1) to argue with someone 2) to spar, contest in words 3) to discuss 4) to bet, to wager"
"кружо́к","1) circle 2) hobby group"
"состоя́ться","1) to take place or to be held 2) to establish oneself"
"моги́ла","1) grave"
"приводи́ть","1) bring, lead, result, reduce, adduce, cite, list"
"о́блако","1) cloud"
"шкаф","1) closet, cupboard, dresser, wardrobe, cabinet, bookcase, locker"
"вари́ть","1) to cook sth / to boil 2) brew 3) to weld"
"милиционе́р","1) policeman, militiaman"
"су́мма","1) sum"
"свято́й","1) holy, Saint, sacred, saint"
"сеть","1) web, meshes, toils, system, circuit, net, fishnet 2) network"
"грех","1) sin"
"помолча́ть","1) be silent, keep quiet"
"ожида́ние","1) expectation 2) waiting"
"необходи́мость","1) necessity or need"
"инспе́ктор","1) inspector"
"сообще́ние","1) message"
"сте́нка","1) wall"
"подъе́зд","1) entrance (by car) 2) approach"
"слы́шно","1) one can hear 2) it is audible, audibly 3) they say, it is said, it is rumored"
"напо́мнить","1) remind"
"парк","1) park, fleet, stock, yard, depot"
"физи́ческий","1) physical, natural"
"вокза́л","1) station building 2) terminal 3) train station"
"несча́стный","1) unhappy 2) unfortunate"
"ора́ть","1) yell"
"глухо́й","1) deaf 2) muffled, flat, toneless, dull, indistinct 3) unvoiced, voiceless 4) out-of-the-way, remote, god-forsaken 5) dense 6) blank"
"боро́ться","1) to fight (reflexive) 2) to struggle (reflexive)"
"дойти́","1) reach, arrive, get to, amount"
"включи́ть","1) turn on 2) include"
"борт","1) the side 2) on board 3) Vessel or aircraft"
"сумасше́дший","1) lunatic, madman, mentally ill person, madwoman 2) crazy, mad, insane"
"интересова́ть","1) to interest, to be interested in"
"умира́ть","1) die, pass away"
"уби́тый","1) killed, murdered, crushed, dead man, the killed"
"взрыв","1) explosion, outburst, burst"
"осо́бенный","1) particular 2) special"
"е́ле","1) barely, hardly, only just, scarcely"
"расстоя́ние","1) distance, space"
"ло́коть","1) elbow"
"актёр","1) actor, player"
"ус","1) moustache, mustache"
"прибы́ть","1) arrive"
"заставля́ть","1) force, compel, make 2) cram, fill, block up, obstruct"
"соотве́тствующий","1) corresponding 2) suitable 3) proper"
"ча́стный","1) private"
"ох","1) oh"
"официа́льный","1) official"
"луна́","1) moon"
"скала́","1) stone cliff"
"ска́ла","1) rock"
"эконо́мика","1) economy, economics"
"мужско́й","1) masculine, male"
"подтверди́ть","1) confirm, corroborate"
"тяну́ться","1) To be stretching 2) To be pulling 3) to drag on"
"обыкнове́нный","1) ordinary 2) everyday 3) habitual"
"песнь","1) song"
"здо́рово","1) great, magnificently, splendidly, superbly, healthily, soundly, wholesomely, fine"
"буква́льно","1) literally, word for word"
"испуга́ться","1) to be frightened of, be startled of, take fright at, shy at"
"пожило́й","1) elderly (adj)"
"ре́зкий","1) sharp, harsh, strongly-worded 2) sudden, rapid"
"шине́ль","1) overcoat"
"лёд","1) ice"
"волк","1) wolf"
"структу́ра","1) structure"
"сержа́нт","1) sergeant"
"соверши́ть","1) accomplish, perform, commit, perpetrate"
"съесть","1) to eat, to eat up 2) to consume 3) to devour"
"кле́тка","1) cage, coop, hutch, chest (large box) 2) check / square, checkwork 3) cell"
"поколе́ние","1) generation"
"газ","1) gas, wind / flatulence 2) gauze, gossamery"
"значи́тельный","1) considerable, sizeable, substantial, significant, meaningful, important"
"пила́","1) saw, nagger"
"файл","1) file"
"круго́м","1) аll round"
"ору́дие","1) tool or device for performing some work"
"колле́га","1) colleague"
"запо́мнить","1) memorize, memorise 2) to remember"
"про́сьба","1) request, application, petition, favor"
"согла́сный","1) agreeable 2) consonant"
"вы́бор","1) choice, selection, option, alternative, election"
"седо́й","1) white that has lost its color (greyed)"
"ку́ча","1) a lot 2) heap"
"ко́рень","1) root"
"блестя́щий","1) brilliant"
"содержа́ние","1) content, matter, substance, table of contents 2) maintenance, keeping, upkeep, pay, salary, wages"
"ра́зница","1) difference, disparity"
"непоня́тный","1) incomprehensible, unintelligible, obscure"
"оста́ток","1) remainder"
"расчёт","1) calculation, estimate 2) settlement of accounts, payment 3) dismissal, firing, discharge"
"приближа́ться","1) approach or nearing (date)"
"чи́сто","1) it is clean, cleanly, neatly,  2) purely, merely"
"уча́ствовать","1) participate, to take part in"
"восто́чный","1) east 2) eastern"
"лови́ть","1) catch, pick up"
"температу́ра","1) temperature, high temperature"
"респу́блика","1) republic"
"по́яс","1) belt 2) time zone"
"удивля́ться","1) to be surprised, wonder"
"сомнева́ться","1) to doubt"
"шёпот","1) whisper"
"сентя́брь","1) September"
"диви́зия","1) division"
"гриб","1) mushroom, fungus, toadstool"
"сравне́ние","1) comparison"
"стро́гий","1) strict"
"замере́ть","1) Become completely still 2) (figurative) to stop or stop acting 3) на устах/на губах/в груди - to remain unspoken"
"ба́бка","1) grandmother, pastern, knucklebone, mandrel 2) money, cash"
"гражда́нский","1) civilian 2) civic, civil"
"записа́ть","1) jot down or take note 2) record 3) write over something"
"реа́кция","1) reaction"
"тоска́","1) melancholy, depression, yearning, anguish, ennui, weariness, boredom, longing, grief"
"посёлок","1) small town / village 2) settlement"
"полчаса́","1) half an hour"
"кольцо́","1) ring, hoop"
"досто́инство","1) dignity/virtue/advantage (in specific contexts)"
"двена́дцать","1) twelve"
"ра́доваться","1) to be happy"
"вы́вести","1) take out, lead out, help out, make go out, turn out, withdraw, call off, remove, extirpate, destroy, exterminate, conclude, infer, depict, portray, grow, raise, hatch"
"создава́ть","1) create"
"слой","1) layer, segment, stratum"
"подари́ть","1) give, make a present, grant, present, favour, bestow 2) gift"
"оттого́","1) that is why"
"страсть","1) passion, obsession 2) strong love between people 3) religion (plural only) horror, suffering"
"ро́вно","1) evenly 2) exactly 3) absolutely"
"напряже́ние","1) stress, tension 2) voltage 3) effort, exertion"
"столо́вый","1) стол (adj)"
"сты́дный","1) shameful"
"коммуни́ст","1) communist"
"гля́нуть","1) glance, take a look"
"уча́стник","1) participant, participator, sharer, accomplice, competitor, player, member"
"изба́","1) hut"
"го́лод","1) hunger or starvation"
"замеча́тельный","1) remarkable, splendid, wonderful, outstanding"
"вре́менный","1) temporary"
"пёс","1) (male) dog"
"замести́тель","1) deputy, vice- 2) substitute"
"и́стина","1) truth"
"коло́нна","1) pillar or column"
"мгнове́нно","1) instantly, in a trice, in a moment"
"прикры́ть","1) cover, to close (but not tightly)"
"оборо́на","1) defence, defensive position, defences"
"скрыва́ть","1) hide"
"поступа́ть","1) act, behave 2) enter, join, matriculate, enroll"
"порази́ть","1) strike/hit/affect"
"везти́","1) to transport someone/something (by vehicle) 2) to be lucky"
"предстоя́ть","1) to lie ahead or remain 2) to have ahead"
"элеме́нт","1) element, cell 2) movements in sports"
"пиджа́к","1) jacket, blazer"
"приноси́ть","1) bring, fetch, yield, bring in"
"убеди́ться","1) make sure"
"телефо́нный","1) telephone, telephonic"
"крыльцо́","1) porch"
"отли́чие","1) distinction"
"брю́ки","1) trousers, pants, breeches, plus-fours, knickerbockers"
"иссле́дование","1) research, investigation, analysis, exploration, paper, essay"
"о́рден","1) decoration for achievement (~ медаль)"
"ю́ный","1) young (adj)"
"научи́ться","1) learn"
"те́хника","1) technique 2) technology"
"сойти́","1) to descend or go down 2) get off vehicle at stop 3) get off a path/divert path 4) to come off disappear 5) It will do (ok, suitable)"
"кана́л","1) canal, duct, bore 2) channel"
"девчо́нка","1) (colloquial) young girl"
"го́рький","1) bitter 2) miserable 3) poignant"
"крест","1) cross"
"печа́льный","1) sad/mournful/sorrowful/grievous (adj)"
"тео́рия","1) theory"
"луч","1) ray, beam"
"молча́ние","1) silence"
"литерату́рный","1) literary"
"батаре́я","1) battery 2) radiator"
"устро́йство","1) device 2) structure or system organization"
"па́лка","1) stick, walking-stick, cane, staff"
"тащи́ть","1) Carry something heavy 2) to drag 3) to pull"
"фона́рь","1) lantern, lamp, light, skylight, bay, black eye"
"лесно́й","1) (relational) forest, wood 2) (relational) timber (BE) / lumber (AE)"
"есте́ственный","1) natural"
"контро́ль","1) control"
"круто́й","1) cool, awesome, badass 2) steep"
"произвести́","1) to produce 2) to make"
"прокля́тый","1) cursed, damned, accursed, confounded"
"про́клятый",""
"покры́ть","1) to cover"
"глубоко́","1) deep, deeply, profoundly"
"страда́ть","1) to suffer, be in pain 2) to be in poor quality 3) to be subject to"
"ве́тка","1) branch"
"влия́ние","1) influence, impact, effect, power, sway, authority, ascendancy"
"разве́дка","1) secret service, intelligence service, intelligence, reconnaissance, exploration, reconnaissance party, prospect, prospecting"
"спра́ва","1) on the right 2) from the right"
"по́льза","1) benefit, advantage, in favor 2) use"
"на́дпись","1) inscription"
"ненави́деть","1) hate, loathe, detest, abhor, execrate"
"и́стинный","1) true"
"обезья́на","1) monkey, ape"
"замолча́ть","1) become silent, stop speaking"
"твёрдо","1) firmly, firm"
"склад","1) storehouse, depot, store, a lot of, constitution"
