"козёл","male-goat, billy-goat; Asshole"
"лечи́ть","heal, treat, cure"
"вы́тереть","wipe in order to make clean or dry"
"внеза́пный","sudden"
"удивле́нно","surprisingly, astonishingly"
"надо́лго","for a long time"
"раб","slave"
"максима́льный","maximum, highest possible"
"включа́ть","include; switch on"
"привле́чь","to attract; draw attention"
"преврати́ть","turn into, transform, convert, transmute, reduce"
"наверху́","above; upstairs"
"образе́ц","sample; model; example"
"да́вний","old or long ago (adj)"
"отве́тственный","responsible; crucial, main"
"стесня́ться","to be shy/ashamed"
"ску́чно","boringly, tediously"
"поде́лать","to do; to not be able to do something about it (with it с)"
"напо́лнить","to fill up"
"выполне́ние","implementation, fulfilment, carrying-out"
"факти́чески","actually; in fact"
"девя́тый","ninth"
"паде́ние","fall, collapse, drop, sinking, downfall, degradation, incidence, dip"
"иму́щество","property, belongings, stock, stores, equipment"
"свали́ться","fall down from (reflexive); to gather (about dogs); to fall ill; to dump"
"ток","current (electricity, water, air); threshing-floor; mating-place (for birds); toque"
"напряжённый","tense/stressful"
"подосла́ть","send"
"прие́зд","arrival, coming"
"пляж","beach"
"заболе́ть","get sick, fall ill, come down with"
"сюжет","plot, subject, story"
"слон","elephant; bishop (chess piece)"
"просы́паться","spill, get spilled"
"просыпа́ться","wake up"
"монасты́рь","monastery"
"подро́сток","teenager, juvenile, youth, young girl"
"бога́тство","riches, wealth, richness, resplendence, gorgeousness"
"пе́редо","in front of; before"
"сле́довательно","consequently; therefore, hence, it follows"
"дневни́к","diary, journal"
"жева́ть","to chew"
"база́р","market, bazaar, fair, sale, uproar, row"
"испо́лнить","to fullfill; to perform"
"пры́гнуть","jump"
"про́волока","wire"
"проволо́ка","wire"
"запи́сывать","write down, put down, take down, note, jot down, record, enter"
"я́рость","rage"
"и́скренне","sincerely"
"уверя́ть","to assure"
"хими́ческий","chemical"
"око́нчить","finish, complete, end; graduate from"
"охраня́ть","to guard or protect"
"необы́чный","unusual( simply indicates something uncommon or strange.)"
"заду́мываться","to think to yourself, to consider, ponder; wonder; to be lost in thought"
"предыду́щий","previous"
"кля́сться","to swear"
"воротни́к","collar"
